  1).	        0.000 	   140000.000
  2).	        0.000 	    60000.000
  3).	        0.000 	    43333.333
  4).	        0.000 	    30000.000
  5).	        0.000 	    26000.000
  6).	        0.000 	    20000.000
  7).	        0.000 	    18571.429
  8).	        0.000 	    15000.000
  9).	        0.000 	    13333.333
  10).	        0.000 	    13000.000
  11).	        0.000 	    11818.182
  12).	        0.000 	    10000.000
  13).	        0.000 	     9230.769
  14).	        0.000 	     8571.429
  15).	        0.000 	     8666.667
  16).	        0.000 	     8125.000
  17).	        0.000 	     7058.824
  18).	        0.000 	     6666.667
  19).	        0.000 	     6315.789
  20).	        0.000 	     6500.000
  21).	        0.000 	     6190.476
  22).	        0.000 	     5454.545
  23).	        0.000 	     5652.174
  24).	        0.000 	     5000.000
  25).	        0.000 	     5200.000
  26).	        0.000 	     4615.385
  27).	        0.000 	     4444.444
  28).	        0.000 	     4285.714
  29).	        0.000 	     4137.931
  30).	        0.000 	     4333.333
  31).	        0.000 	     3870.968
  32).	        0.000 	     4062.500
  33).	        0.000 	     3636.364
  34).	        0.000 	     3529.412
  35).	        0.000 	     3714.286
  36).	        0.000 	     3611.111
  37).	        0.000 	     3243.243
  38).	        0.000 	     3157.895
  39).	        0.000 	     3333.333
  40).	        0.000 	     3000.000
  41).	        0.000 	     2926.829
  42).	        0.000 	     2857.143
  43).	        0.000 	     2790.698
  44).	        0.000 	     2954.545
  45).	        0.000 	     2888.889
  46).	        0.000 	     2826.087
  47).	        0.000 	     2553.191
  48).	        0.000 	     2708.333
  49).	        0.000 	     2448.980
  50).	        0.000 	     2600.000
  51).	        0.000 	     2352.941
  52).	        0.000 	     2307.692
  53).	        0.000 	     2264.151
  54).	        0.000 	     2407.407
  55).	        0.000 	     2363.636
  56).	        0.000 	     2142.857
  57).	        0.000 	     2280.702
  58).	        0.000 	     2241.379
  59).	        0.000 	     2203.390
  60).	        0.000 	     2000.000
  61).	        0.000 	     1967.213
  62).	        0.000 	     2096.774
  63).	        0.000 	     2063.492
  64).	        0.000 	     2031.250
  65).	        0.000 	     1846.154
  66).	        0.000 	     1818.182
  67).	        0.000 	     1940.299
  68).	        0.000 	     1911.765
  69).	        0.000 	     1884.058
  70).	        0.000 	     1857.143
  71).	        0.000 	     1690.141
  72).	        0.000 	     1805.556
  73).	        0.000 	     1780.822
  74).	        0.000 	     1621.622
  75).	        0.000 	     1600.000
  76).	        0.000 	     1578.947
  77).	        0.000 	     1688.312
  78).	        0.000 	     1538.462
  79).	        0.000 	     1645.570
  80).	        0.000 	     1500.000
  81).	        0.000 	     1604.938
  82).	        0.000 	     1463.415
  83).	        0.000 	     1566.265
  84).	        0.000 	     1547.619
  85).	        0.000 	     1529.412
  86).	        0.000 	     1511.628
  87).	        0.000 	     1494.253
  88).	        0.000 	     1477.273
  89).	        0.000 	     1348.315
  90).	        0.000 	     1333.333
  91).	        0.000 	     1428.571
  92).	        0.000 	     1304.348
  93).	        0.000 	     1397.849
  94).	        0.000 	     1382.979
  95).	        0.000 	     1368.421
  96).	        0.000 	     1250.000
  97).	        0.000 	     1340.206
  98).	        0.000 	     1224.490
  99).	        0.000 	     1212.121
  100).	        0.000 	     1200.000
  101).	        0.000 	     1287.129
  102).	        0.000 	     1176.471
  103).	        0.000 	     1165.049
  104).	        0.000 	     1153.846
  105).	        0.000 	     1142.857
  106).	        0.000 	     1132.075
  107).	        0.000 	     1121.495
  108).	        0.000 	     1111.111
  109).	        0.000 	     1100.917
  110).	        0.000 	     1090.909
  111).	        0.000 	     1171.171
  112).	        0.000 	     1071.429
  113).	        0.000 	     1061.947
  114).	        0.000 	     1052.632
  115).	        0.000 	     1043.478
  116).	        0.000 	     1034.483
  117).	        0.000 	     1025.641
  118).	        0.000 	     1016.949
  119).	        0.000 	     1008.403
  120).	        0.000 	     1083.333
  121).	        0.000 	      991.736
  122).	        0.000 	      983.607
  123).	        0.000 	      975.610
  124).	        0.000 	      967.742
  125).	        0.000 	      960.000
  126).	        0.000 	      952.381
  127).	        0.000 	      944.882
  128).	        0.000 	      937.500
  129).	        0.000 	      930.233
  130).	        0.000 	     1000.000
  131).	        0.000 	      916.031
  132).	        0.000 	      909.091
  133).	        0.000 	      902.256
  134).	        0.000 	      895.522
  135).	        0.000 	      888.889
  136).	        0.000 	      882.353
  137).	        0.000 	      875.912
  138).	        0.000 	      942.029
  139).	        0.000 	      863.309
  140).	        0.000 	      857.143
  141).	        0.000 	      851.064
  142).	        0.000 	      845.070
  143).	        0.000 	      909.091
  144).	        0.000 	      833.333
  145).	        0.000 	      827.586
  146).	        0.000 	      821.918
  147).	        0.000 	      816.327
  148).	        0.000 	      810.811
  149).	        0.000 	      805.369
  150).	        0.000 	      866.667
  151).	        0.000 	      794.702
  152).	        0.000 	      789.474
  153).	        0.000 	      784.314
  154).	        0.000 	      779.221
  155).	        0.000 	      774.194
  156).	        0.000 	      769.231
  157).	        0.000 	      764.331
  158).	        0.000 	      759.494
  159).	        0.000 	      817.610
  160).	        0.000 	      750.000
  161).	        0.000 	      745.342
  162).	        0.000 	      740.741
  163).	        0.000 	      736.196
  164).	        0.000 	      731.707
  165).	        0.000 	      727.273
  166).	        0.000 	      722.892
  167).	        0.000 	      778.443
  168).	        0.000 	      714.286
  169).	        0.000 	      710.059
  170).	        0.000 	      705.882
  171).	        0.000 	      701.754
  172).	        0.000 	      697.674
  173).	        0.000 	      693.642
  174).	        0.000 	      689.655
  175).	        0.000 	      685.714
  176).	        0.000 	      681.818
  177).	        0.000 	      734.463
  178).	        0.000 	      674.157
  179).	        0.000 	      670.391
  180).	        0.000 	      666.667
  181).	        0.000 	      662.983
  182).	        0.000 	      659.341
  183).	        0.000 	      655.738
  184).	        0.000 	      652.174
  185).	        0.000 	      648.649
  186).	        0.000 	      698.925
  187).	        0.000 	      641.711
  188).	        0.000 	      638.298
  189).	        0.000 	      634.921
  190).	        0.000 	      631.579
  191).	        0.000 	      628.272
  192).	        0.000 	      625.000
  193).	        0.000 	      621.762
  194).	        0.000 	      618.557
  195).	        0.000 	      666.667
  196).	        0.000 	      612.245
  197).	        0.000 	      609.137
  198).	        0.000 	      606.061
  199).	        0.000 	      603.015
  200).	        0.000 	      600.000
  201).	        0.000 	      597.015
  202).	        0.000 	      594.059
  203).	        0.000 	      591.133
  204).	        0.000 	      637.255
  205).	        0.000 	      585.366
  206).	        0.000 	      582.524
  207).	        0.000 	      579.710
  208).	        0.000 	      576.923
  209).	        0.000 	      574.163
  210).	        0.000 	      571.429
  211).	        0.000 	      568.720
  212).	        0.000 	      613.208
  213).	        0.000 	      563.380
  214).	        0.000 	      607.477
  215).	        0.000 	      558.140
  216).	        0.000 	      601.852
  217).	        0.000 	      552.995
  218).	        0.000 	      596.330
  219).	        0.000 	      547.945
  220).	        0.000 	      590.909
  221).	        0.000 	      542.986
  222).	        0.000 	      585.586
  223).	        0.000 	      538.117
  224).	        0.000 	      580.357
  225).	        0.000 	      533.333
  226).	        0.000 	      575.221
  227).	        0.000 	      528.634
  228).	        0.000 	      570.175
  229).	        0.000 	      524.017
  230).	        0.000 	      565.217
  231).	        0.000 	      519.481
  232).	        0.000 	      560.345
  233).	        0.000 	      515.021
  234).	        0.000 	      512.821
  235).	        0.000 	      510.638
  236).	        0.000 	      508.475
  237).	        0.000 	      506.329
  238).	        0.000 	      504.202
  239).	        0.000 	      502.092
  240).	        0.000 	      541.667
  241).	        0.000 	      497.925
  242).	        0.000 	      495.868
  243).	        0.000 	      534.979
  244).	        0.000 	      491.803
  245).	        0.000 	      530.612
  246).	        0.000 	      487.805
  247).	        0.000 	      485.830
  248).	        0.000 	      483.871
  249).	        0.000 	      481.928
  250).	        0.000 	      520.000
  251).	        0.000 	      478.088
  252).	        0.000 	      476.190
  253).	        0.000 	      474.308
  254).	        0.000 	      472.441
  255).	        0.000 	      470.588
  256).	        0.000 	      468.750
  257).	        0.000 	      466.926
  258).	        0.000 	      465.116
  259).	        0.000 	      501.931
  260).	        0.000 	      461.538
  261).	        0.000 	      459.770
  262).	        0.000 	      458.015
  263).	        0.000 	      456.274
  264).	        0.000 	      454.545
  265).	        0.000 	      452.830
  266).	        0.000 	      451.128
  267).	        0.000 	      449.438
  268).	        0.000 	      485.075
  269).	        0.000 	      446.097
  270).	        0.000 	      444.444
  271).	        0.000 	      442.804
  272).	        0.000 	      441.176
  273).	        0.000 	      439.560
  274).	        0.000 	      437.956
  275).	        0.000 	      436.364
  276).	        0.000 	      471.014
  277).	        0.000 	      433.213
  278).	        0.000 	      431.655
  279).	        0.000 	      430.108
  280).	        0.000 	      428.571
  281).	        0.000 	      427.046
  282).	        0.000 	      425.532
  283).	        0.000 	      424.028
  284).	        0.000 	      422.535
  285).	        0.000 	      456.140
  286).	        0.000 	      419.580
  287).	        0.000 	      418.118
  288).	        0.000 	      416.667
  289).	        0.000 	      415.225
  290).	        0.000 	      413.793
  291).	        0.000 	      446.735
  292).	        0.000 	      410.959
  293).	        0.000 	      409.556
  294).	        0.000 	      442.177
  295).	        0.000 	      406.780
  296).	        0.000 	      439.189
  297).	        0.000 	      404.040
  298).	        0.000 	      436.242
  299).	        0.000 	      401.338
  300).	        0.000 	      400.000
