      1 		     2600000.00000000 		       2190000.00000000

      2 		     1310000.00000000 		       1080000.00000000

      3 		      876666.66666667 		        700000.00000000

      4 		      640000.00000000 		        522500.00000000

      5 		      514000.00000000 		        422000.00000000

      6 		      430000.00000000 		        350000.00000000

      7 		      364285.71428571 		        302857.14285714

      8 		      318750.00000000 		        263750.00000000

      9 		      283333.33333333 		        234444.44444444

