  1).	        0.000 	   100000.000
  2).	        0.000 	    40000.000
  3).	        0.000 	    30000.000
  4).	        0.000 	    20000.000
  5).	        0.000 	    16000.000
  6).	        0.000 	    13333.333
  7).	        0.000 	    12857.143
  8).	        0.000 	    10000.000
  9).	        0.000 	    10000.000
  10).	        0.000 	     8000.000
  11).	        0.000 	     8181.818
  12).	        0.000 	     6666.667
  13).	        0.000 	     6923.077
  14).	        0.000 	     5714.286
  15).	        0.000 	     6000.000
  16).	        0.000 	     5000.000
  17).	        0.000 	     5294.118
  18).	        0.000 	     4444.444
  19).	        0.000 	     4210.526
  20).	        0.000 	     4000.000
  21).	        0.000 	     3809.524
  22).	        0.000 	     4090.909
  23).	        0.000 	     3913.043
  24).	        0.000 	     3333.333
  25).	        0.000 	     3600.000
  26).	        0.000 	     3076.923
  27).	        0.000 	     2962.963
  28).	        0.000 	     2857.143
  29).	        0.000 	     3103.448
  30).	        0.000 	     3000.000
  31).	        0.000 	     2580.645
  32).	        0.000 	     2812.500
  33).	        0.000 	     2424.242
  34).	        0.000 	     2352.941
  35).	        0.000 	     2571.429
  36).	        0.000 	     2500.000
  37).	        0.000 	     2162.162
  38).	        0.000 	     2105.263
  39).	        0.000 	     2307.692
  40).	        0.000 	     2000.000
  41).	        0.000 	     1951.220
  42).	        0.000 	     1904.762
  43).	        0.000 	     2093.023
  44).	        0.000 	     1818.182
  45).	        0.000 	     2000.000
  46).	        0.000 	     1739.130
  47).	        0.000 	     1702.128
  48).	        0.000 	     1666.667
  49).	        0.000 	     1836.735
  50).	        0.000 	     1600.000
  51).	        0.000 	     1764.706
  52).	        0.000 	     1538.462
  53).	        0.000 	     1698.113
  54).	        0.000 	     1481.481
  55).	        0.000 	     1454.545
  56).	        0.000 	     1428.571
  57).	        0.000 	     1578.947
  58).	        0.000 	     1379.310
  59).	        0.000 	     1525.424
  60).	        0.000 	     1333.333
  61).	        0.000 	     1475.410
  62).	        0.000 	     1290.323
  63).	        0.000 	     1428.571
  64).	        0.000 	     1250.000
  65).	        0.000 	     1384.615
  66).	        0.000 	     1212.121
  67).	        0.000 	     1343.284
  68).	        0.000 	     1176.471
  69).	        0.000 	     1304.348
  70).	        0.000 	     1142.857
  71).	        0.000 	     1267.606
  72).	        0.000 	     1250.000
  73).	        0.000 	     1095.890
  74).	        0.000 	     1081.081
  75).	        0.000 	     1200.000
  76).	        0.000 	     1052.632
  77).	        0.000 	     1038.961
  78).	        0.000 	     1025.641
  79).	        0.000 	     1139.241
  80).	        0.000 	     1125.000
  81).	        0.000 	     1111.111
  82).	        0.000 	      975.610
  83).	        0.000 	     1084.337
  84).	        0.000 	     1071.429
  85).	        0.000 	      941.176
  86).	        0.000 	     1046.512
  87).	        0.000 	     1034.483
  88).	        0.000 	      909.091
  89).	        0.000 	     1011.236
  90).	        0.000 	      888.889
  91).	        0.000 	      879.121
  92).	        0.000 	      978.261
  93).	        0.000 	      967.742
  94).	        0.000 	      851.064
  95).	        0.000 	      947.368
  96).	        0.000 	      833.333
  97).	        0.000 	      927.835
  98).	        0.000 	      816.327
  99).	        0.000 	      808.081
  100).	        0.000 	      900.000
  101).	        0.000 	      792.079
  102).	        0.000 	      882.353
  103).	        0.000 	      776.699
  104).	        0.000 	      769.231
  105).	        0.000 	      857.143
  106).	        0.000 	      754.717
  107).	        0.000 	      747.664
  108).	        0.000 	      833.333
  109).	        0.000 	      733.945
  110).	        0.000 	      727.273
  111).	        0.000 	      810.811
  112).	        0.000 	      714.286
  113).	        0.000 	      707.965
  114).	        0.000 	      701.754
  115).	        0.000 	      782.609
  116).	        0.000 	      775.862
  117).	        0.000 	      683.761
  118).	        0.000 	      762.712
  119).	        0.000 	      672.269
  120).	        0.000 	      666.667
  121).	        0.000 	      661.157
  122).	        0.000 	      737.705
  123).	        0.000 	      731.707
  124).	        0.000 	      645.161
  125).	        0.000 	      720.000
  126).	        0.000 	      634.921
  127).	        0.000 	      708.661
  128).	        0.000 	      625.000
  129).	        0.000 	      697.674
  130).	        0.000 	      615.385
  131).	        0.000 	      687.023
  132).	        0.000 	      606.061
  133).	        0.000 	      676.692
  134).	        0.000 	      597.015
  135).	        0.000 	      666.667
  136).	        0.000 	      588.235
  137).	        0.000 	      583.942
  138).	        0.000 	      652.174
  139).	        0.000 	      575.540
  140).	        0.000 	      571.429
  141).	        0.000 	      567.376
  142).	        0.000 	      633.803
  143).	        0.000 	      559.441
  144).	        0.000 	      555.556
  145).	        0.000 	      551.724
  146).	        0.000 	      616.438
  147).	        0.000 	      544.218
  148).	        0.000 	      540.541
  149).	        0.000 	      536.913
  150).	        0.000 	      600.000
  151).	        0.000 	      529.801
  152).	        0.000 	      526.316
  153).	        0.000 	      522.876
  154).	        0.000 	      584.416
  155).	        0.000 	      516.129
  156).	        0.000 	      512.821
  157).	        0.000 	      509.554
  158).	        0.000 	      506.329
  159).	        0.000 	      566.038
  160).	        0.000 	      500.000
  161).	        0.000 	      496.894
  162).	        0.000 	      555.556
  163).	        0.000 	      490.798
  164).	        0.000 	      487.805
  165).	        0.000 	      484.848
  166).	        0.000 	      481.928
  167).	        0.000 	      538.922
  168).	        0.000 	      476.190
  169).	        0.000 	      473.373
  170).	        0.000 	      470.588
  171).	        0.000 	      526.316
  172).	        0.000 	      465.116
  173).	        0.000 	      462.428
  174).	        0.000 	      459.770
  175).	        0.000 	      514.286
  176).	        0.000 	      454.545
  177).	        0.000 	      451.977
  178).	        0.000 	      449.438
  179).	        0.000 	      502.793
  180).	        0.000 	      444.444
  181).	        0.000 	      441.989
  182).	        0.000 	      439.560
  183).	        0.000 	      491.803
  184).	        0.000 	      434.783
  185).	        0.000 	      432.432
  186).	        0.000 	      430.108
  187).	        0.000 	      481.283
  188).	        0.000 	      425.532
  189).	        0.000 	      423.280
  190).	        0.000 	      421.053
  191).	        0.000 	      418.848
  192).	        0.000 	      468.750
  193).	        0.000 	      414.508
  194).	        0.000 	      412.371
  195).	        0.000 	      410.256
  196).	        0.000 	      459.184
  197).	        0.000 	      406.091
  198).	        0.000 	      404.040
  199).	        0.000 	      402.010
  200).	        0.000 	      450.000
  201).	        0.000 	      398.010
  202).	        0.000 	      396.040
  203).	        0.000 	      394.089
  204).	        0.000 	      392.157
  205).	        0.000 	      439.024
  206).	        0.000 	      388.350
  207).	        0.000 	      386.473
  208).	        0.000 	      384.615
  209).	        0.000 	      430.622
  210).	        0.000 	      380.952
  211).	        0.000 	      379.147
  212).	        0.000 	      377.358
  213).	        0.000 	      422.535
  214).	        0.000 	      373.832
  215).	        0.000 	      372.093
  216).	        0.000 	      370.370
  217).	        0.000 	      414.747
  218).	        0.000 	      366.972
  219).	        0.000 	      365.297
  220).	        0.000 	      363.636
  221).	        0.000 	      361.991
  222).	        0.000 	      405.405
  223).	        0.000 	      358.744
  224).	        0.000 	      357.143
  225).	        0.000 	      355.556
  226).	        0.000 	      398.230
  227).	        0.000 	      352.423
  228).	        0.000 	      350.877
  229).	        0.000 	      349.345
  230).	        0.000 	      391.304
  231).	        0.000 	      346.320
  232).	        0.000 	      344.828
  233).	        0.000 	      343.348
  234).	        0.000 	      341.880
  235).	        0.000 	      382.979
  236).	        0.000 	      338.983
  237).	        0.000 	      337.553
  238).	        0.000 	      336.134
  239).	        0.000 	      376.569
  240).	        0.000 	      333.333
  241).	        0.000 	      331.950
  242).	        0.000 	      330.579
  243).	        0.000 	      370.370
  244).	        0.000 	      327.869
  245).	        0.000 	      326.531
  246).	        0.000 	      325.203
  247).	        0.000 	      323.887
  248).	        0.000 	      362.903
  249).	        0.000 	      321.285
  250).	        0.000 	      320.000
