  1).	        0.000 	    90000.000
  2).	        0.000 	    45000.000
  3).	        0.000 	    26666.667
  4).	        0.000 	    20000.000
  5).	        0.000 	    16000.000
  6).	        0.000 	    15000.000
  7).	        0.000 	    11428.571
  8).	        0.000 	    11250.000
  9).	        0.000 	     8888.889
  10).	        0.000 	     8000.000
  11).	        0.000 	     7272.727
  12).	        0.000 	     6666.667
  13).	        0.000 	     6153.846
  14).	        0.000 	     5714.286
  15).	        0.000 	     6000.000
  16).	        0.000 	     5625.000
  17).	        0.000 	     5294.118
  18).	        0.000 	     4444.444
  19).	        0.000 	     4736.842
  20).	        0.000 	     4000.000
  21).	        0.000 	     4285.714
  22).	        0.000 	     4090.909
  23).	        0.000 	     3913.043
  24).	        0.000 	     3333.333
  25).	        0.000 	     3600.000
  26).	        0.000 	     3076.923
  27).	        0.000 	     3333.333
  28).	        0.000 	     2857.143
  29).	        0.000 	     3103.448
  30).	        0.000 	     2666.667
  31).	        0.000 	     2903.226
  32).	        0.000 	     2500.000
  33).	        0.000 	     2424.242
  34).	        0.000 	     2647.059
  35).	        0.000 	     2285.714
  36).	        0.000 	     2500.000
  37).	        0.000 	     2432.432
  38).	        0.000 	     2105.263
  39).	        0.000 	     2051.282
  40).	        0.000 	     2000.000
  41).	        0.000 	     1951.220
  42).	        0.000 	     1904.762
  43).	        0.000 	     2093.023
  44).	        0.000 	     1818.182
  45).	        0.000 	     2000.000
  46).	        0.000 	     1956.522
  47).	        0.000 	     1702.128
  48).	        0.000 	     1875.000
  49).	        0.000 	     1632.653
  50).	        0.000 	     1800.000
  51).	        0.000 	     1764.706
  52).	        0.000 	     1538.462
  53).	        0.000 	     1509.434
  54).	        0.000 	     1481.481
  55).	        0.000 	     1454.545
  56).	        0.000 	     1607.143
  57).	        0.000 	     1403.509
  58).	        0.000 	     1551.724
  59).	        0.000 	     1355.932
  60).	        0.000 	     1500.000
  61).	        0.000 	     1311.475
  62).	        0.000 	     1451.613
  63).	        0.000 	     1269.841
  64).	        0.000 	     1250.000
  65).	        0.000 	     1384.615
  66).	        0.000 	     1363.636
  67).	        0.000 	     1194.030
  68).	        0.000 	     1176.471
  69).	        0.000 	     1304.348
  70).	        0.000 	     1142.857
  71).	        0.000 	     1126.761
  72).	        0.000 	     1250.000
  73).	        0.000 	     1095.890
  74).	        0.000 	     1216.216
  75).	        0.000 	     1066.667
  76).	        0.000 	     1052.632
  77).	        0.000 	     1168.831
  78).	        0.000 	     1025.641
  79).	        0.000 	     1139.241
  80).	        0.000 	     1125.000
  81).	        0.000 	      987.654
