1  	  110000.00000000 	   90000.00000000 	  100000.00000000
2  	   50000.00000000 	   45000.00000000 	   50000.00000000
3  	   36666.66666667 	   30000.00000000 	   33333.33333333
4  	   27500.00000000 	   22500.00000000 	   25000.00000000
5  	   20000.00000000 	   20000.00000000 	   18000.00000000
6  	   16666.66666667 	   16666.66666667 	   15000.00000000
7  	   15714.28571429 	   12857.14285714 	   14285.71428571
8  	   12500.00000000 	   12500.00000000 	   11250.00000000
9  	   12222.22222222 	   11111.11111111 	   10000.00000000
10  	   10000.00000000 	    9000.00000000 	    9000.00000000
11  	   10000.00000000 	    8181.81818182 	    8181.81818182
12  	    8333.33333333 	    8333.33333333 	    7500.00000000
13  	    7692.30769231 	    7692.30769231 	    6923.07692308
14  	    7142.85714286 	    6428.57142857 	    6428.57142857
15  	    6666.66666667 	    6666.66666667 	    6000.00000000
16  	    6875.00000000 	    5625.00000000 	    5625.00000000
17  	    6470.58823529 	    5882.35294118 	    5294.11764706
18  	    6111.11111111 	    5000.00000000 	    5000.00000000
19  	    5263.15789474 	    5263.15789474 	    5263.15789474
